article_id,year,corpus,article_type
1093246,2015,opinions,column
1093243,2015,opinions,column
1093297,2015,news,news
1093298,2015,news,news
1093300,2015,news,news
1093310,2015,news,news
1093288,2015,opinions,column
1093287,2015,opinions,column
1093383,2015,news,news
1093285,2015,news,news
1093359,2015,news,news
1093388,2015,news,news
1093397,2015,opinions,editorial
1093465,2015,news,news
1093462,2015,news,news
1093503,2015,news,news
1093467,2015,news,news
1093395,2015,opinions,column
1093394,2015,opinions,column
1093586,2015,opinions,column
1093460,2015,opinions,op-ed
1093396,2015,opinions,column
1093529,2015,news,news
1093469,2015,news,news
1093569,2015,news,news
1093584,2015,news,news
1093581,2015,news,news
1093544,2015,news,news
1093546,2015,opinions,column
1093582,2015,opinions,column
1093578,2015,news,news
1093655,2015,opinions,column
1093646,2015,news,news
1093656,2015,opinions,op-ed
1093654,2015,opinions,column
1093696,2015,opinions,column
1093713,2015,opinions,column
1093587,2015,news,news
1093647,2015,news,news
1093717,2015,opinions,op-ed
1093727,2015,opinions,opinion
1093776,2015,opinions,opinion
1093763,2015,news,news
1093769,2015,news,news
1093774,2015,opinions,column
1093729,2015,news,news
1093712,2015,news,news
1093709,2015,news,news
1093828,2015,news,news
1093792,2015,opinions,column
1093794,2015,news,news
1093843,2015,news,news
1093845,2015,news,news
1093844,2015,news,news
1093891,2015,news,news
1093882,2015,news,news
1093853,2015,news,news
1093849,2015,news,news
1093874,2015,opinions,column
1093859,2015,opinions,column
1093871,2015,opinions,column
1093858,2015,opinions,op-ed
1093966,2015,opinions,column
1093946,2015,opinions,column
1093945,2015,opinions,column
1093940,2015,news,news
1093939,2015,news,news
1093997,2015,news,news
1093996,2015,news,news
1094020,2015,news,news
1094027,2015,news,news
1094016,2015,news,news
1094037,2015,opinions,column
1094042,2015,opinions,column
1094023,2015,news,news
1094101,2015,opinions,column
1094099,2015,opinions,column
1094100,2015,opinions,column
1094127,2015,news,news
1094090,2015,news,news
1094022,2015,news,news
1094150,2015,opinions,column
1094112,2015,news,news
1094182,2015,opinions,column
1094183,2015,opinions,opinion
1094193,2015,opinions,column
1094186,2015,opinions,op-ed
1094196,2015,opinions,column
1094104,2015,news,news
1094107,2015,news,news
1094185,2015,news,news
1094157,2015,news,news
1094247,2015,news,news
1094232,2015,news,news
1094245,2015,news,news
1094255,2015,opinions,column
1094249,2015,opinions,column
1094254,2015,opinions,column
1094251,2015,opinions,op-ed
1094302,2015,news,news
1094246,2015,news,news
1094329,2015,opinions,column
1094326,2015,news,news
1094330,2015,opinions,op-ed
1094320,2015,news,news
1094390,2015,opinions,column
1094391,2015,opinions,opinion
1094379,2015,news,news
1094345,2015,news,news
1094387,2015,opinions,column
1094393,2015,news,news
1094433,2015,news,news
1094435,2015,news,news
1094446,2015,opinions,column
1094449,2015,opinions,opinion
1094447,2015,opinions,editorial
1094445,2015,opinions,column
1094381,2015,news,news
1094544,2015,news,news
1094531,2015,news,news
1094498,2015,news,news
1094523,2015,news,news
1094504,2015,news,news
1094512,2015,news,news
1094521,2015,opinions,opinion
1094528,2015,opinions,column
1094520,2015,opinions,op-ed
1094519,2015,opinions,column
1094346,2015,news,news
1094524,2015,news,news
1094610,2015,news,news
1094575,2015,news,news
1094600,2015,news,news
1094587,2015,news,news
1094580,2015,news,news
1094607,2015,opinions,column
1094606,2015,opinions,column
1094747,2015,opinions,editorial
1094717,2015,opinions,column
1094710,2015,opinions,column
1094715,2015,opinions,column
1094726,2015,news,news
1094725,2015,news,news
1094714,2015,news,news
1094719,2015,news,news
1094708,2015,news,news
1094817,2015,opinions,column
1094815,2015,opinions,column
1094745,2015,news,news
1094809,2015,news,news
1094839,2015,news,news
1094811,2015,news,news
1094884,2015,opinions,column
1094882,2015,opinions,column
1094886,2015,opinions,op-ed
1094883,2015,opinions,column
1094877,2015,news,news
1094963,2015,opinions,column
1094960,2015,opinions,column
1094966,2015,opinions,column
1095010,2015,news,news
1094953,2015,news,news
1094878,2015,news,news
1094954,2015,opinions,column
1094976,2015,opinions,editorial
1095092,2015,opinions,column
1095089,2015,opinions,column
1095070,2015,news,news
1095072,2015,news,news
1095126,2015,news,other
1095087,2015,opinions,op-ed
1095080,2015,news,news
1094593,2015,news,news
1095207,2015,news,news
1095245,2015,opinions,column
1095237,2015,opinions,column
1095247,2015,opinions,op-ed
1095222,2015,news,news
1095235,2015,news,news
1095234,2015,news,news
1095264,2015,news,news
1095243,2015,opinions,column
1095345,2015,opinions,column
1095355,2015,opinions,column
1095357,2015,opinions,op-ed
1095356,2015,opinions,opinion
1095239,2015,news,news
1095316,2015,news,news
1095317,2015,news,news
1095344,2015,news,news
1095411,2015,news,news
1095431,2015,news,news
1095416,2015,opinions,column
1095417,2015,opinions,column
1095421,2015,opinions,column
1095409,2015,news,news
1095440,2015,news,news
1095474,2015,news,news
1095498,2015,news,news
1095480,2015,news,news
1095518,2015,opinions,opinion
1095523,2015,opinions,column
1095482,2015,news,news
1095532,2015,opinions,column
1095506,2015,news,news
1095597,2015,opinions,column
1095608,2015,opinions,column
1095616,2015,opinions,column
1095596,2015,news,news
1095743,2015,news,news
1095736,2015,news,news
1095700,2015,news,news
1095600,2015,news,news
1095599,2015,news,news
1095602,2015,news,news
1095584,2015,news,news
1095730,2015,news,news
1095716,2015,news,news
1095782,2015,news,news
1095707,2015,news,news
1095806,2015,news,news
1095796,2015,opinions,column
1095795,2015,opinions,op-ed
1095794,2015,opinions,column
1095967,2015,news,news
1095922,2015,news,news
1095921,2015,news,news
1095999,2015,news,news
1095919,2015,opinions,column
1095924,2015,opinions,column
1095920,2015,opinions,column
1096026,2015,news,news
1096032,2015,opinions,column
1096018,2015,news,news
1096034,2015,news,news
1096043,2015,opinions,column
1096040,2015,opinions,column
1096036,2015,opinions,op-ed
1096117,2015,opinions,column
1096131,2015,opinions,column
1096188,2015,news,news
1096112,2015,news,news
1096143,2015,news,news
1096206,2015,news,news
1096184,2015,news,news
1096227,2015,news,news
1096273,2015,news,news
1096229,2015,opinions,column
1096230,2015,opinions,op-ed
1096231,2015,opinions,op-ed
1096254,2015,news,news
1096387,2015,news,news
