year_a,year_b,mean_cross_sim,n_pairs
2015,2016,0.17555,22500
2015,2017,0.18782,22500
2015,2018,0.18569,22500
2015,2019,0.1946,22500
2015,2020,0.18921,22500
2015,2021,0.19281,22500
2015,2022,0.19055,22500
2015,2023,0.19188,22500
2015,2024,0.18863,22500
2015,2025,0.18871,22500
2015,2026,0.19513,22500
2016,2017,0.18806,22500
2016,2018,0.17913,22500
2016,2019,0.19224,22500
2016,2020,0.19995,22500
2016,2021,0.19981,22500
2016,2022,0.21025,22500
2016,2023,0.20434,22500
2016,2024,0.19951,22500
2016,2025,0.19405,22500
2016,2026,0.20215,22500
2017,2018,0.19519,22500
2017,2019,0.20431,22500
2017,2020,0.20671,22500
2017,2021,0.19357,22500
2017,2022,0.1974,22500
2017,2023,0.20278,22500
2017,2024,0.20187,22500
2017,2025,0.2081,22500
2017,2026,0.19983,22500
2018,2019,0.21598,22500
2018,2020,0.21201,22500
2018,2021,0.21372,22500
2018,2022,0.2177,22500
2018,2023,0.20629,22500
2018,2024,0.20807,22500
2018,2025,0.21576,22500
2018,2026,0.20723,22500
2019,2020,0.22172,22500
2019,2021,0.21258,22500
2019,2022,0.20218,22500
2019,2023,0.21973,22500
2019,2024,0.2126,22500
2019,2025,0.21619,22500
2019,2026,0.21879,22500
2020,2021,0.24143,22500
2020,2022,0.23592,22500
2020,2023,0.22588,22500
2020,2024,0.24174,22500
2020,2025,0.22021,22500
2020,2026,0.21467,22500
2021,2022,0.22595,22500
2021,2023,0.23255,22500
2021,2024,0.21883,22500
2021,2025,0.22011,22500
2021,2026,0.20981,22500
2022,2023,0.21887,22500
2022,2024,0.21645,22500
2022,2025,0.22532,22500
2022,2026,0.22613,22500
2023,2024,0.23994,22500
2023,2025,0.21273,22500
2023,2026,0.23148,22500
2024,2025,0.22331,22500
2024,2026,0.21816,22500
2025,2026,0.22925,22500
