corpus,year,n_articles,total_words,ai_vocab_hits,freq_per_million
opinions,2015,448,370709,337,909.07
opinions,2016,407,313672,258,822.52
opinions,2017,427,353446,272,769.57
opinions,2018,368,310094,256,825.56
opinions,2019,332,287229,311,1082.76
opinions,2020,378,399327,341,853.94
opinions,2021,183,191762,167,870.87
opinions,2022,131,134194,132,983.65
opinions,2023,105,95692,63,658.36
opinions,2024,92,76904,85,1105.27
opinions,2025,155,153517,165,1074.8
opinions,2026,109,106228,162,1525.02
news,2015,756,492548,333,676.08
news,2016,767,531030,353,664.75
news,2017,645,481789,316,655.89
news,2018,757,594572,425,714.8
news,2019,855,620901,489,787.57
news,2020,1068,833002,530,636.25
news,2021,789,533128,423,793.43
news,2022,634,462019,366,792.18
news,2023,472,386163,293,758.75
news,2024,491,344987,345,1000.04
news,2025,547,363736,415,1140.94
news,2026,326,224883,179,795.97
