year,n_total,column,editorial,op-ed,opinion,share_column,share_editorial,share_op-ed,share_opinion
2015,448,325,12,86,25,0.725,0.027,0.192,0.056
2016,407,240,12,123,32,0.59,0.029,0.302,0.079
2017,427,303,5,74,45,0.71,0.012,0.173,0.105
2018,368,223,14,102,29,0.606,0.038,0.277,0.079
2019,332,115,1,125,91,0.346,0.003,0.377,0.274
2020,378,19,4,172,183,0.05,0.011,0.455,0.484
2021,183,7,0,30,146,0.038,0.0,0.164,0.798
2022,131,3,2,2,124,0.023,0.015,0.015,0.947
2023,105,7,0,2,96,0.067,0.0,0.019,0.914
2024,92,10,1,0,81,0.109,0.011,0.0,0.88
2025,155,38,0,2,115,0.245,0.0,0.013,0.742
2026,109,23,0,0,86,0.211,0.0,0.0,0.789
