year,token_count_median,token_count_mean,token_count_std,sentence_count_median,sentence_count_mean,sentence_count_std,avg_sentence_len_median,avg_sentence_len_mean,avg_sentence_len_std,med_sentence_len_median,med_sentence_len_mean,med_sentence_len_std,unique_word_count_median,unique_word_count_mean,unique_word_count_std,ttr_median,ttr_mean,ttr_std,root_ttr_median,root_ttr_mean,root_ttr_std,mattr_median,mattr_mean,mattr_std,hapax_ratio_median,hapax_ratio_mean,hapax_ratio_std,func_word_ratio_median,func_word_ratio_mean,func_word_ratio_std,pos_noun_median,pos_noun_mean,pos_noun_std,pos_verb_median,pos_verb_mean,pos_verb_std,pos_adj_median,pos_adj_mean,pos_adj_std,pos_adv_median,pos_adv_mean,pos_adv_std,pos_propn_median,pos_propn_mean,pos_propn_std,flesch_reading_ease_median,flesch_reading_ease_mean,flesch_reading_ease_std,flesch_kincaid_grade_median,flesch_kincaid_grade_mean,flesch_kincaid_grade_std,dale_chall_readability_score_median,dale_chall_readability_score_mean,dale_chall_readability_score_std,smog_index_median,smog_index_mean,smog_index_std,automated_readability_index_median,automated_readability_index_mean,automated_readability_index_std
2015,734.5,734.1960132890365,416.20537098923353,32.0,33.8812292358804,19.639943009432123,25.705,26.276511627906974,5.2440079210790795,24.5,24.726744186046513,4.633634922985301,331.0,324.66777408637876,131.54852105294609,0.46840000000000004,0.4734605481727575,0.07666803816785216,12.135,11.955623920265781,2.0420168288164664,0.71845,0.7156243355481728,0.035486821186822344,0.69485,0.6925524916943522,0.05072735888802719,0.43165,0.43238646179401996,0.03967267370003892,0.19019288909319143,0.19097844685932147,0.02848058673216682,0.1041196018533867,0.10346733707896155,0.01587637051601671,0.06475242088449636,0.06575594092256853,0.018256739440452432,0.03568352288184397,0.03594547236457371,0.013742440712173893,0.077030267865777,0.08393339475122082,0.04689963365035597,45.136438881001396,45.45632147053323,10.298967869428465,12.145462025434533,12.140493131612669,2.0136658623190935,10.716747967070349,10.681510430148016,0.9671356105468869,13.76565470535455,13.781735947622206,1.6653226524070364,13.363258505488684,13.274521946820286,2.411646277171786
2016,703.5,737.9310051107325,409.50686603036775,31.0,34.02129471890971,19.659732640484584,25.95,26.628330494037478,7.6232195957987505,24.5,24.876064735945487,5.58974806160574,325.5,327.9931856899489,121.72311439314439,0.47095,0.4718312606473594,0.06886523332122856,12.1572,12.083026916524702,1.9041165051025069,0.71895,0.7148676320272572,0.035589219202711984,0.6966,0.6925915672913118,0.057496278589061325,0.42845,0.432134667802385,0.04448886139916072,0.188961346661552,0.18902680540228936,0.028534446296863882,0.10484427546052301,0.10394726062845175,0.016206164006063936,0.06398818897637795,0.06496934049856146,0.015952071800528343,0.033973308245152906,0.0354821081150158,0.014307002880004839,0.07969939474985548,0.0859034354744022,0.047250797283799856,44.36641772535236,45.04237395116865,10.888347028636069,12.36710109086934,12.229412960651308,2.282563824495729,10.840531125812984,10.75460094682246,1.0771018893175144,13.901157680251561,13.821135797645402,1.7215077563193297,13.576802135974663,13.356298274805678,2.8218199732474036
2017,728.5,799.4598880597015,481.0250844910324,32.0,36.872201492537314,23.069122203872773,26.255000000000003,26.461277985074627,8.161824491956324,25.0,25.097014925373134,8.074143492356606,340.5,353.3526119402985,148.60409528686796,0.4725,0.4728771455223881,0.07092217661245631,12.49755,12.498096735074625,2.041973787827864,0.7248,0.7226152985074626,0.033159228915679344,0.69815,0.6965350746268657,0.05099691685444549,0.425,0.42977248134328355,0.04571779548180123,0.1900647948164147,0.19077205255414054,0.029464373658696107,0.10678177854319931,0.10641272834015408,0.015938303582910256,0.06472822742513386,0.0659298617695199,0.016799660340546266,0.034835724924861027,0.03628064703465161,0.014651581104261882,0.07547717482122898,0.0812671653120433,0.046898171961187285,43.62840283709778,44.75651318145862,12.062818528663934,12.4569228723532,12.298769800214671,2.591600522875522,10.83298923943936,10.747477449294927,1.1663037792777615,14.0316965835644,13.872691590015265,1.9286670526943948,13.679734439595347,13.470843545081491,3.1662956822095505
2018,731.0,824.3733333333333,509.4057570021209,33.0,37.91288888888889,23.2307675612915,26.39,26.40616888888889,5.651303568002207,25.0,24.877333333333333,4.572524708124133,340.0,359.56266666666664,155.94001159767126,0.4639,0.4662431111111111,0.07107490709904582,12.4817,12.51743511111111,2.112639579524701,0.7241,0.7198686222222223,0.04279133204504163,0.6923,0.6917451555555556,0.04910897557772303,0.4229,0.4256309333333333,0.041575364654951284,0.1867881548974943,0.18582866888557595,0.026441853786408273,0.10776942355889724,0.10665377504294336,0.01623084521924928,0.06230529595015576,0.06228053916311874,0.018003027296378205,0.03186646433990895,0.03383422284103356,0.013843105745309756,0.08997429305912596,0.09269221816897326,0.04864250808488694,43.37885542168678,44.37551626012667,11.099474221749977,12.468168160038982,12.289516722654435,2.3225046032124452,11.010192663476873,10.904234258132849,1.0844821732191015,14.03260196037952,13.882657160826273,1.8371082272384645,13.746584683780291,13.453062407659306,2.8701511708632914
2019,697.0,782.0598146588037,470.71633971336996,30.0,34.51305812973884,21.149164040882376,27.37,27.442535804549284,4.681180007478721,26.0,26.031592249368156,4.950221458470261,327.0,344.7725358045493,153.8549243966608,0.472,0.47400716090985673,0.07479177305225755,12.3433,12.283679275484415,2.198731318879686,0.7233,0.718252653748947,0.041016582826084835,0.6957,0.694381550126369,0.04751358717492446,0.4165,0.4189328559393429,0.04012930006817364,0.18969555035128804,0.19045682273394043,0.027806025383404414,0.10640870616686819,0.1054839230976067,0.016163720611155147,0.061224489795918366,0.06194045628370356,0.01848954964517883,0.029003021148036254,0.03005553251314402,0.01269688697564736,0.0944741532976827,0.09787918835641567,0.04567925731434137,41.72801622418879,42.140447556927555,10.67052537097871,12.805392156862748,12.746657171340113,2.285595495132423,11.241602219462983,11.138014274556294,0.9672498431862354,14.323750722554948,14.241312525466427,1.8097636499437535,14.20747529581407,14.046803412380207,2.8186521153012505
2020,769.0,868.292531120332,575.8467724749203,34.0,38.42600276625173,27.079730826914137,27.165,27.40107192254495,5.129436672802455,26.0,25.79218533886584,4.501118791667068,349.0,369.2627939142462,156.5460634826435,0.45640000000000003,0.45777565698478556,0.07108305149454179,12.61195,12.526631466113416,2.201522490497179,0.72445,0.7203217150760719,0.03908484071611246,0.68085,0.680111825726141,0.048027683681891274,0.42085,0.42198195020746887,0.03704624099092082,0.19593973715140506,0.19540637481121972,0.02736790509701,0.1104271361541462,0.10913696488760395,0.016484572016506573,0.06098889420266752,0.06144570910156589,0.01687067735651768,0.031142306232677955,0.03163468087026247,0.011565549351636728,0.08146957246635703,0.08839671479627091,0.04403788967065377,41.51338227636735,42.08087079580897,10.37183529137925,12.845935935928,12.754248862464493,2.2809111432367293,11.157175001351126,11.091463408782978,0.9474923853257459,14.337214669408317,14.248582993677857,1.7775528288756346,14.264995681924518,14.101884704723865,2.8379139987985003
2021,706.0,761.4341563786008,404.13952376806833,30.0,33.10082304526749,18.598310038659214,27.55,27.684835390946503,4.856713411701497,26.0,26.34104938271605,4.308482296697688,323.5,334.5246913580247,141.26056154715408,0.4595,0.4669076131687243,0.0703531244885125,12.126249999999999,12.036567901234568,2.19109413154336,0.72335,0.7179402263374486,0.04025775753006285,0.68305,0.684242695473251,0.04642134903110885,0.41835,0.41800730452674895,0.03725276063890052,0.19827127769912023,0.19913492356302168,0.02859082598179123,0.1111111111111111,0.10989965350939446,0.0172218580005484,0.063350621400157,0.0635417534331754,0.016848604749353704,0.030868747251315297,0.03161616996354026,0.011655282139399556,0.08214458794064658,0.08840107635798532,0.0451050406498636,39.8258430577624,40.78067212823515,10.668294694946926,13.124403242536143,13.007066658572462,2.2919049363481236,11.29145979019859,11.184185088878284,0.9063770402714841,14.554592549557764,14.479654066852197,1.8293070805098761,14.599223840967138,14.338040566945198,2.866153911025557
2022,718.0,797.440522875817,469.56063141584013,31.0,36.00261437908497,22.95591024432717,26.93,27.078013071895427,4.208219857796956,26.0,25.662091503267973,4.548085244311277,332.0,344.3529411764706,151.4088753038884,0.4579,0.4583201307189542,0.06858373364672776,12.3289,12.115056862745098,2.3162490604921975,0.7195,0.7112921568627452,0.05181529081736827,0.6846,0.6820703267973857,0.04611130252381518,0.4158,0.4150992156862745,0.037279666487449445,0.19409660107334525,0.1972378495010767,0.031675572000065544,0.10966981132075472,0.10853556984712505,0.016115516011708738,0.06118546845124283,0.06141266528543197,0.015440258095356228,0.029535864978902954,0.029900937301048876,0.0114355738814565,0.08908045977011494,0.09593315036220132,0.04353283645214892,42.75173076923079,42.91418889447037,10.783963091876354,12.646345679012345,12.503728074367654,2.404928414965195,11.235213357006284,11.18166009908813,0.9382263180145619,14.138980108339055,14.080630569436245,1.910968614716565,14.043776129190917,13.81367706685578,3.1183805682979546
2023,777.0,854.3206239168111,456.85076445176884,34.0,38.51819757365685,21.00901174552,26.69,26.975147313691508,4.149883116760628,25.0,25.437608318890813,4.132202025008728,348.0,360.28076256499133,142.3463994079846,0.4462,0.44552668977469667,0.06854366649789585,12.5339,12.300661871750433,2.0841795559215823,0.7182,0.7059641247833622,0.05341484473269331,0.6837,0.6804866551126517,0.04721154055088792,0.4167,0.41715112651646447,0.034349404151586604,0.1910891089108911,0.19285063405246872,0.02711090741364219,0.10918114143920596,0.10667973869384047,0.016738763460402123,0.06069094304388422,0.060958922005948254,0.016080174756685776,0.02834008097165992,0.028277921906230352,0.010853056784845976,0.0919175911251981,0.09920776501358845,0.043192520567647115,41.99493978342272,42.84786480073596,11.158088141335476,12.723597209584472,12.494040548234873,2.3918682389948107,11.217920288283146,11.177321193491556,0.8971355981205947,14.255182589712494,14.137417975996328,1.903043198010067,14.105059888986268,13.695435840229745,3.155513311388843
2024,690.0,739.7958833619211,377.39415964691545,32.0,34.72898799313894,19.673415178398553,26.06,26.491835334476843,4.937674010364851,25.0,24.967409948542024,3.997503686048277,329.0,330.84048027444254,126.84813934288424,0.475,0.46999210977701544,0.07156149187774105,12.3727,12.139310463121783,2.1351870682936767,0.7239,0.7144156089193825,0.04913249475821862,0.6953,0.6891193825042882,0.05496567799721607,0.4057,0.40622572898799314,0.03590562883786577,0.1922222222222222,0.19331300681563068,0.029435004996527132,0.10986964618249534,0.10731481954041888,0.01863918099670916,0.06210691823899371,0.0627247094856751,0.016615350090766996,0.026936026936026935,0.027405456439107027,0.011727949780477689,0.09908536585365854,0.10570391774148603,0.04629898789125632,41.2466666666667,41.94463255941593,11.167337549010156,12.582169117647059,12.376323547952104,2.289982077400392,11.406066666666666,11.314725363956814,0.9093626861748466,14.236664824994875,14.0993824427169,1.799915419260532,13.909031532505729,13.507032095991038,2.9905517069533034
