year,term,mean_tfidf,rank
2015,students,0.046848,1
2015,said,0.046276,2
2015,people,0.044797,3
2015,one,0.044281,4
2015,there,0.043701,5
2015,all,0.043504,6
2015,student,0.042623,7
2015,year,0.042567,8
2015,like,0.04254,9
2015,campus,0.042277,10
2015,out,0.042152,11
2015,time,0.041596,12
2015,new,0.041534,13
2015,many,0.041501,14
2015,university,0.041255,15
2015,some,0.041212,16
2015,contact,0.040876,17
2015,edu,0.040667,18
2015,think,0.040334,19
2015,first,0.040225,20
2015,two,0.040119,21
2015,community,0.040119,22
2015,make,0.040085,23
2015,really,0.04008,24
2015,between,0.039667,25
2015,years,0.039646,26
2015,world,0.039472,27
2015,way,0.039467,28
2015,work,0.03945,29
2015,school,0.039417,30
2015,last,0.039378,31
2015,any,0.039235,32
2015,get,0.039124,33
2015,according,0.038967,34
2015,program,0.038887,35
2015,well,0.0388,36
2015,much,0.038762,37
2015,now,0.038749,38
2015,take,0.0386,39
2015,women,0.038561,40
2015,don,0.038561,41
2015,sexual,0.038547,42
2015,change,0.038514,43
2015,class,0.038358,44
2015,different,0.038296,45
2015,want,0.038154,46
2015,life,0.038067,47
2015,however,0.037987,48
2015,group,0.037964,49
2015,both,0.037942,50
2015,president,0.037897,51
2015,members,0.037828,52
2015,need,0.037704,53
2015,issues,0.037641,54
2015,part,0.037602,55
2015,know,0.037496,56
2015,going,0.037464,57
2015,research,0.037464,58
2015,see,0.037455,59
2015,social,0.037431,60
2015,percent,0.037364,61
2015,education,0.037347,62
2015,around,0.03733,63
2015,right,0.037254,64
2015,every,0.037245,65
2015,public,0.037237,66
2015,something,0.037219,67
2015,against,0.037211,68
2015,lot,0.037167,69
2015,made,0.03715,70
2015,health,0.03715,71
2015,things,0.037106,72
2015,day,0.037079,73
2015,experience,0.037053,74
2015,use,0.037053,75
2015,help,0.036944,76
2015,good,0.036944,77
2015,place,0.036935,78
2015,important,0.036926,79
2015,process,0.036908,80
2015,come,0.036899,81
