word,pre_freq,post_freq,absolute_change,relative_change
said,7879.482000000001,12490.6225,4611.140499999999,58.52085835084081
reported,477.4620000000001,2963.4275,2485.9655,520.6624820404554
university,3775.0619999999994,5853.2375,2078.1755000000007,55.050102488383004
tessier,421.93,1851.4,1429.47,338.79316474296684
lavigne,422.71000000000004,1847.84,1425.1299999999999,337.14130254784595
wrote,1030.218,2354.2,1323.9819999999997,128.51474154014002
between,1856.824,3082.495,1225.6709999999998,66.00900246873155
ai,414.22,1600.4775,1186.2575,286.3834435807059
student,4205.994000000001,5361.735000000001,1155.741,27.478427216015994
professor,1199.702,2290.97,1091.2679999999998,90.96158879455064
students,7903.1179999999995,8920.3,1017.1819999999998,12.870641688508256
graduate,1336.91,2227.5425,890.6324999999999,66.61873274939973
research,1529.874,2363.1925,833.3185000000001,54.46974718179406
according,1732.452,2459.075,726.6229999999998,41.94188352693176
faculty,1235.558,1922.87,687.3119999999999,55.627659729450166
ph,499.034,1144.5725,645.5385,129.35761891975298
co,692.862,1337.46,644.5980000000001,93.0341106887086
academic,814.612,1404.76,590.148,72.44528683594153
building,587.932,1176.555,588.623,100.11753059877672
including,941.882,1499.5425,557.6605000000001,59.20704504385901
federal,388.42333333333335,913.4466666666667,525.0233333333333,135.16781518446368
president,1483.34,1966.18,482.84000000000015,32.550864939932865
speech,464.038,936.35,472.312,101.78304363004753
safety,440.0875,895.2775,455.19000000000005,103.43170392251541
union,452.19500000000005,898.505,446.30999999999995,98.69857030705778
sit,315.03,752.97,437.94000000000005,139.01533187315496
education,1300.662,1730.8574999999998,430.1954999999998,33.075118670338625
science,869.716,1292.9225000000001,423.2065000000001,48.6603098022803
school,1952.9080000000001,2368.9725,416.0644999999997,21.304869456216046
medicine,344.09666666666664,748.5825,404.48583333333335,117.55005860756185
across,613.702,1016.2475,402.54549999999995,65.59299138669907
funding,831.46,1233.0475000000001,401.5875000000001,48.299076323575406
universities,405.915,803.22,397.305,97.87886626510476
year,3100.1259999999997,3487.4525,387.3265000000001,12.493895409412396
trump,1131.51,1512.4099999999999,380.89999999999986,33.662981325838906
paper,437.67,811.77,374.09999999999997,85.47535814654876
gsc,540.1850000000001,904.3525,364.1674999999999,67.41532993326358
administration,648.216,1010.675,362.45899999999995,55.916392066841915
war,390.82,752.6675,361.8475,92.58674069904305
israel,542.1,899.91,357.80999999999995,66.00442722744879
april,461.395,811.8625,350.4675,75.95823535148843
workers,717.4399999999999,1067.6033333333332,350.1633333333333,48.80733348201011
former,579.966,920.3275000000001,340.3615000000001,58.68645748199034
nov,339.05,678.0933333333334,339.04333333333335,99.99803372167331
jan,329.12,634.735,305.615,92.85822800194458
report,727.6379999999999,1024.7649999999999,297.12699999999995,40.83445339578196
undergraduate,838.392,1133.4475,295.05549999999994,35.19302426549871
law,945.6380000000001,1239.885,294.24699999999984,31.116241098602192
election,567.3475,861.4775,294.13,51.843006270407464
event,1134.328,1417.725,283.39699999999993,24.9836907843234
march,476.92,760.16,283.23999999999995,59.389415415583315
committee,766.46,1033.3,266.8399999999999,34.81460219711399
bill,579.244,834.1575,254.9135,44.00796555510286
freedom,349.81,598.7974999999999,248.9874999999999,71.17792515937221
political,1046.272,1294.7775000000001,248.5055000000002,23.751519681306604
institutions,358.365,605.915,247.54999999999995,69.07761639669052
support,1386.47,1627.3175,240.84750000000008,17.371273810468317
california,640.798,880.8525,240.05449999999996,37.46180543634655
international,598.342,837.2975,238.95550000000003,39.93627390355349
director,742.4399999999999,981.155,238.71500000000003,32.15276655352622
incident,340.11,576.78,236.66999999999996,69.58631031136984
following,443.95,678.4175,234.46750000000003,52.813943011600415
statement,551.426,780.3325,228.90649999999994,41.51173502881618
policies,448.36199999999997,675.725,227.36300000000006,50.70969439872248
based,619.516,827.7625,208.24650000000008,33.61438606912495
build,325.26,532.735,207.47500000000002,63.787431593186994
public,1288.458,1495.27,206.8119999999999,16.05112467771552
vote,458.36199999999997,658.5425,200.18050000000005,43.67301390603935
center,1128.0459999999998,1324.24,196.1940000000002,17.392375842829125
office,891.872,1085.0549999999998,193.18299999999988,21.660395213662934
resolution,416.4433333333333,608.4975,192.05416666666662,46.117719097436215
data,708.894,898.205,189.31100000000004,26.70512093486474
free,727.754,916.8625,189.10849999999994,25.985223028660776
