year,n_articles_with_author,n_unique_authors,articles_per_author,top1_share,top5_share,top10_share,hhi,effective_n_authors
2015,448,75,5.97,0.1696,0.3795,0.5246,0.0503,19.9
2016,407,59,6.9,0.3096,0.5086,0.6511,0.1141,8.8
2017,427,58,7.36,0.192,0.3888,0.5386,0.0577,17.3
2018,368,69,5.33,0.2636,0.4022,0.5245,0.0833,12.0
2019,332,76,4.37,0.4187,0.5512,0.6566,0.1852,5.4
2020,378,219,1.73,0.0847,0.2196,0.2989,0.0162,61.7
2021,183,93,1.97,0.1639,0.3169,0.4372,0.0404,24.8
2022,131,46,2.85,0.4504,0.6107,0.7099,0.2144,4.7
2023,105,28,3.75,0.4857,0.7143,0.8286,0.2546,3.9
2024,92,26,3.54,0.5109,0.6848,0.7935,0.2746,3.6
2025,155,28,5.54,0.529,0.729,0.8581,0.2954,3.4
2026,109,30,3.63,0.3578,0.633,0.789,0.1585,6.3
