year,n,mattr,func_word_ratio,avg_sentence_len,flesch_reading_ease
2015,367,0.73,0.4466,25.32,44.2851
2016,267,0.7263,0.4652,26.81,47.0416
2017,321,0.7349,0.4651,25.39,48.7109
2018,260,0.7363,0.4586,24.815,49.3153
2019,188,0.7302,0.4585,26.0,44.2376
2020,333,0.7281,0.4418,25.34,42.8196
2021,103,0.731,0.4476,25.55,44.4157
2022,46,0.7378,0.4343,27.105,41.4308
2023,28,0.7252,0.4346,25.55,38.9944
2024,32,0.7459,0.4148,24.605,39.5524
2025,69,0.7581,0.4177,24.46,42.0758
2026,61,0.7632,0.4143,23.34,40.3189
