corpus,year,n,median_word_count,mean_word_count
opinions,2015,448,820.0,855.6
opinions,2016,407,785.0,803.0
opinions,2017,427,809.0,861.0
opinions,2018,368,826.5,876.7
opinions,2019,332,821.5,897.8
opinions,2020,378,1041.5,1093.1
opinions,2021,183,1102.0,1083.2
opinions,2022,131,960.0,1066.6
opinions,2023,105,889.0,947.1
opinions,2024,92,855.5,873.1
opinions,2025,155,932.0,1040.1
opinions,2026,109,1011.0,1009.1
news,2015,756,601.0,676.9
news,2016,767,638.0,720.2
news,2017,645,651.0,775.7
news,2018,757,694.0,816.9
news,2019,855,653.0,754.2
news,2020,1068,702.5,808.0
news,2021,789,660.0,700.4
news,2022,634,672.5,757.9
news,2023,472,757.0,854.3
news,2024,491,684.0,738.7
news,2025,547,666.0,698.0
news,2026,326,677.5,724.2
