year,group,n_available,n_used,mean_sim,ci_low,ci_high
2015,all,1204,200,0.16854,0.15637,0.18755
2015,news,756,200,0.19539,0.18301,0.218
2015,opinions,448,200,0.17641,0.16538,0.19737
2015,student,367,200,0.17914,0.16605,0.19989
2015,guest,81,81,0.26018,0.23781,0.30365
2016,all,1174,200,0.19025,0.17734,0.21082
2016,news,767,200,0.19746,0.18565,0.2193
2016,opinions,407,200,0.21022,0.19827,0.23338
2016,student,267,200,0.20784,0.19597,0.22931
2016,guest,140,140,0.24643,0.23057,0.27706
2017,all,1072,200,0.18157,0.17077,0.20364
2017,news,645,200,0.21246,0.19901,0.23408
2017,opinions,427,200,0.19141,0.18079,0.21337
2017,student,321,200,0.19006,0.18045,0.20843
2017,guest,106,106,0.25521,0.23201,0.29009
2018,all,1125,200,0.2024,0.18897,0.22464
2018,news,757,200,0.23129,0.21639,0.25399
2018,opinions,368,200,0.19776,0.18605,0.22026
2018,student,260,200,0.19676,0.18583,0.21547
2018,guest,108,108,0.24298,0.22639,0.27594
2019,all,1187,200,0.22322,0.20544,0.24635
2019,news,855,200,0.21244,0.19987,0.23716
2019,opinions,332,200,0.2346,0.21738,0.25857
2019,student,188,188,0.22156,0.20724,0.24595
2019,guest,144,144,0.2643,0.24809,0.29368
2020,all,1446,200,0.24111,0.22538,0.26681
2020,news,1068,200,0.2431,0.23205,0.26397
2020,opinions,378,200,0.25103,0.23528,0.27486
2020,student,333,200,0.24631,0.23201,0.26732
2020,guest,45,45,0.32785,0.29077,0.39627
2021,all,972,200,0.23622,0.22092,0.25929
2021,news,789,200,0.24842,0.23154,0.27359
2021,opinions,183,183,0.25013,0.23379,0.27617
2021,student,103,103,0.22462,0.21141,0.25704
2021,guest,80,80,0.30154,0.27864,0.34093
2022,all,765,200,0.21274,0.20085,0.23432
2022,news,634,200,0.22858,0.21526,0.25223
2022,opinions,131,131,0.24789,0.23406,0.27527
2022,student,46,46,0.23092,0.22078,0.2828
2022,guest,85,85,0.26627,0.24931,0.29666
2023,all,577,200,0.22671,0.21362,0.2499
2023,news,472,200,0.22348,0.21132,0.24387
2023,opinions,105,105,0.28415,0.26347,0.32021
2023,student,28,28,0.29974,0.2669,0.38216
2023,guest,77,77,0.28507,0.26214,0.32645
2024,all,583,200,0.23986,0.22556,0.26336
2024,news,491,200,0.22566,0.21577,0.24649
2024,opinions,92,92,0.28407,0.25943,0.32636
2024,student,32,32,0.2633,0.22972,0.35043
2024,guest,60,60,0.31176,0.28023,0.37005
2025,all,702,200,0.20212,0.18791,0.22514
2025,news,547,200,0.23191,0.21963,0.25268
2025,opinions,155,155,0.27386,0.25169,0.30652
2025,student,69,69,0.25705,0.23247,0.30461
2025,guest,86,86,0.29733,0.261,0.34938
2026,all,435,200,0.21565,0.20291,0.23847
2026,news,326,200,0.22902,0.21746,0.24887
2026,opinions,109,109,0.23163,0.21587,0.2638
2026,student,61,61,0.22132,0.20418,0.26414
2026,guest,48,48,0.24957,0.23707,0.29873
