ngram,pre_freq,post_freq,absolute_change,relative_change,n
tessier lavigne,201.2425,1077.09,875.8474999999999,435.1983205177575,2
honor code,0.0,504.3,504.3,5043000.0,2
petty theft,0.0,496.075,496.075,4960750.0,2
graduate workers,0.0,402.28000000000003,402.28000000000003,4022800.0,2
bicycle between,0.0,292.7775,292.7775,2927774.9999999995,2
creative writing,0.0,279.69,279.69,2796900.0,2
trump administration,82.435,358.0,275.565,334.24100915762017,2
theft of bicycle,0.0,249.59,249.59,2495900.0,3
reached out,70.74,309.8075,239.0675,337.904593639576,2
pro palestine,0.0,234.66,234.66,2346600.0,2
grand theft,0.0,231.08749999999998,231.08749999999998,2310874.9999999995,2
theft between,0.0,194.36,194.36,1943600.0,2
affirmative action,0.0,193.0,193.0,1930000.0,2
motor vehicle,0.0,192.745,192.745,1927450.0,2
information regarding,0.0,184.66500000000002,184.66500000000002,1846650.0,2
israel gaza,0.0,182.51,182.51,1825100.0,2
degree burglary,0.0,177.77,177.77,1777700.0,2
third year,0.0,174.33,174.33,1743300.0,2
president donald,0.0,174.0,174.0,1740000.0,2
date drop,0.0,172.15,172.15,1721500.0,2
year ph,0.0,169.355,169.355,1693550.0,2
second degree,0.0,165.92,165.92,1659200.0,2
bargaining committee,0.0,165.92,165.92,1659200.0,2
international students,0.0,165.51999999999998,165.51999999999998,1655199.9999999995,2
doerr school,0.0,165.08999999999997,165.08999999999997,1650899.9999999995,2
faculty senate,103.035,266.5625,163.5275,158.69523023921587,2
president jonathan,0.0,160.46,160.46,1604600.0,2
higher education,0.0,160.26666666666668,160.26666666666668,1602666.6666666667,2
fourth year,0.0,157.72,157.72,1577200.0,2
school of humanities,25.14,179.57,154.43,614.0357852882704,3
academic freedom,0.0,153.485,153.485,1534850.0000000002,2
oct was reported,0.0,153.18333333333334,153.18333333333334,1531833.3333333335,3
academic integrity,0.0,151.5,151.5,1515000.0,2
out to sudps,0.0,151.3375,151.3375,1513375.0,3
annual grant,0.0,149.42,149.42,1494199.9999999998,2
israel gaza war,0.0,146.96,146.96,1469600.0,3
gaza war,0.0,146.96,146.96,1469600.0,2
vehicle between,0.0,146.4466666666667,146.4466666666667,1464466.6666666667,2
ph student,84.58500000000001,228.4825,143.89749999999998,170.1016608546604,2
federal funding,0.0,143.06,143.06,1430600.0,2
jane stanford way,0.0,140.445,140.445,1404449.9999999998,3
motor vehicle between,0.0,140.41333333333333,140.41333333333333,1404133.3333333333,3
white plaza,68.945,207.45999999999998,138.515,200.87738380102965,2
march was reported,0.0,136.95333333333335,136.95333333333335,1369533.3333333335,3
federal government,0.0,136.16500000000002,136.16500000000002,1361650.0000000002,2
reported at campus,0.0,136.1175,136.1175,1361175.0,3
nov was reported,0.0,135.4,135.4,1354000.0,3
petty theft between,0.0,135.11,135.11,1351100.0000000002,3
student workers,0.0,130.74,130.74,1307400.0,2
electric bicycle,0.0,130.345,130.345,1303450.0,2
jonathan levin,0.0,130.1,130.1,1301000.0,2
provost jenny,0.0,130.04,130.04,1300399.9999999998,2
shopping express,0.0,128.67,128.67,1286699.9999999998,2
workers union,0.0,128.0,128.0,1280000.0,2
richard saller,0.0,128.0,128.0,1280000.0,2
free speech,130.03333333333333,257.3175,127.28416666666666,97.87827134544897,2
jan was reported,0.0,127.28000000000002,127.28000000000002,1272800.0000000002,3
university president,0.0,126.31333333333333,126.31333333333333,1263133.3333333333,2
escondido village,54.45,180.33333333333334,125.88333333333334,231.1482433590403,2
stop genocide,0.0,125.63,125.63,1256300.0,2
took place,0.0,122.44,122.44,1224400.0,2
previous version,0.0,119.16333333333334,119.16333333333334,1191633.3333333335,2
president richard,0.0,118.51,118.51,1185100.0,2
marriage pact,0.0,117.79,117.79,1177900.0,2
reported at escondido,0.0,116.6275,116.6275,1166275.0,3
jenny martinez,0.0,115.79666666666667,115.79666666666667,1157966.6666666665,2
burglary from motor,0.0,115.01333333333334,115.01333333333334,1150133.3333333335,3
data science,0.0,114.14,114.14,1141400.0,2
ph assistant,0.0,113.77,113.77,1137700.0,2
former president,0.0,113.77,113.77,1137700.0,2
ph assistant professor,0.0,113.77,113.77,1137700.0,3
senate ugs,0.0,112.5625,112.5625,1125625.0,2
democracy day,0.0,112.13,112.13,1121300.0,2
bankman fried,0.0,112.07,112.07,1120699.9999999998,2
undergraduate senate ugs,0.0,111.8075,111.8075,1118075.0,3
village graduate,0.0,111.75,111.75,1117500.0,2
lewis weber,0.0,111.75,111.75,1117500.0,2
safety sudps,0.0,111.72000000000001,111.72000000000001,1117200.0000000002,2
social media,103.34,214.585,111.245,107.63909046927915,2
behavioral sciences,0.0,110.2,110.2,1102000.0,2
reported at jane,0.0,110.1275,110.1275,1101275.0,3
graduate student workers,0.0,109.99,109.99,1099900.0,3
writing program,0.0,109.03,109.03,1090300.0,2
professor emeritus,0.0,108.26,108.26,1082600.0,2
rapport wrote,0.0,107.92,107.92,1079200.0,2
graduate residences,0.0,107.89,107.89,1078900.0,2
creative writing program,0.0,106.66,106.66,1066600.0,3
residences building,0.0,105.71,105.71,1057100.0,2
council gsc,0.0,104.93333333333334,104.93333333333334,1049333.3333333335,2
escondido road,0.0,104.64333333333333,104.64333333333333,1046433.3333333333,2
diversity equity,0.0,104.4,104.4,1044000.0,2
electric bicycle between,0.0,104.34333333333332,104.34333333333332,1043433.3333333333,3
blue and white,0.0,104.29,104.29,1042900.0,3
white tent,0.0,104.29,104.29,1042900.0,2
university department,0.0,103.70333333333333,103.70333333333333,1037033.3333333334,2
beyond sex,0.0,102.68,102.68,1026800.0,2
club sports,0.0,102.46,102.46,1024600.0,2
april was reported,0.0,102.08333333333333,102.08333333333333,1020833.3333333333,3
neighborhood system,0.0,101.69,101.69,1016900.0,2
santa teresa,0.0,100.25999999999999,100.25999999999999,1002599.9999999998,2
feb was reported,0.0,100.09666666666668,100.09666666666668,1000966.6666666667,3
elections commission,0.0,99.66,99.66,996600.0,2
medical school,0.0,99.66,99.66,996600.0,2
assistant professor,120.92,220.22499999999997,99.30499999999996,82.11775407260396,2
university president jonathan,0.0,98.28999999999999,98.28999999999999,982899.9999999998,3
green library,0.0,97.18,97.18,971800.0,2
reported on oct,0.0,97.18,97.18,971800.0,3
second degree burglary,0.0,97.115,97.115,971150.0,3
david sengthay,0.0,96.64,96.64,966400.0,2
associate professor,166.42,262.69,96.27000000000001,57.84413867692124,2
campus drive,71.85,167.185,95.33500000000001,132.66768716949628,2
president jonathan levin,0.0,94.81333333333333,94.81333333333333,948133.3333333334,3
viewpoint diversity,0.0,93.62,93.62,936200.0,2
joint resolution,0.0,93.62,93.62,936200.0,2
electric scooter,0.0,93.50999999999999,93.50999999999999,935099.9999999998,2
escondido village graduate,0.0,92.065,92.065,920650.0,3
provost jenny martinez,0.0,91.6275,91.6275,916275.0,3
year ph student,27.54,118.88749999999999,91.3475,331.5698729582577,3
greenhouse gas,0.0,91.31,91.31,913100.0,2
el centro,0.0,91.31,91.31,913100.0,2
undergraduate students,0.0,91.31,91.31,913100.0,2
ugs chair,0.0,90.6,90.6,906000.0,2
gender affirming,0.0,90.6,90.6,906000.0,2
student organizations,0.0,90.6,90.6,906000.0,2
chair david,0.0,90.6,90.6,906000.0,2
ph students,0.0,90.07,90.07,900700.0,2
president richard saller,0.0,89.345,89.345,893450.0,3
theft was reported,0.0,89.24,89.24,892400.0,3
research funding,0.0,88.93,88.93,889300.0,2
hundred block,0.0,88.93,88.93,889300.0,2
graduate residences building,0.0,88.62,88.62,886200.0,3
graduate workers union,0.0,88.31,88.31,883100.0,3
village graduate residences,0.0,88.2,88.2,882000.0,3
dec was reported,0.0,87.6,87.6,876000.0,3
building between,0.0,87.58,87.58,875800.0,2
fossil fuel,71.905,159.15,87.245,121.31683237154974,2
levin said,0.0,87.0,87.0,870000.0,2
global health,0.0,87.0,87.0,870000.0,2
disorderly conduct,0.0,87.0,87.0,870000.0,2
senior fellow,0.0,87.0,87.0,870000.0,2
scooter between,0.0,86.2,86.2,862000.0,2
marc tessier lavigne,71.605,157.72,86.115,120.24715492564404,3
political science,57.47,143.54,86.07,149.73903966597078,2
reported at santa,0.0,85.58999999999999,85.58999999999999,855899.9999999998,3
pro palestinian,0.0,85.06,85.06,850600.0,2
phd professor,0.0,85.06,85.06,850600.0,2
money labor,0.0,85.06,85.06,850600.0,2
chair david sengthay,0.0,84.56,84.56,845600.0,3
joint bill,0.0,84.56,84.56,845600.0,2
electric scooter between,0.0,84.33,84.33,843300.0,3
teresa street,0.0,84.29499999999999,84.29499999999999,842949.9999999998,2
between on oct,0.0,83.99666666666667,83.99666666666667,839966.6666666666,3
graduate student,214.02799999999996,297.63,83.60200000000003,39.059419355441584,2
psychiatry and behavioral,0.0,83.13,83.13,831300.0,3
first amendment,0.0,83.13,83.13,831300.0,2
fifth year,0.0,83.01,83.01,830100.0,2
real world,0.0,81.54,81.54,815400.0000000001,2
student speakers,0.0,81.54,81.54,815400.0000000001,2
said think,0.0,81.35499999999999,81.35499999999999,813549.9999999999,2
clinical assistant professor,0.0,81.2,81.2,812000.0,3
clinical assistant,0.0,81.2,81.2,812000.0,2
phd student,0.0,81.2,81.2,812000.0,2
executive orders,0.0,81.2,81.2,812000.0,2
president donald trump,32.25666666666667,112.67,80.41333333333333,249.21487603305783,3
between on feb,0.0,79.88,79.88,798799.9999999999,3
regarding the report,0.0,79.86,79.86,798600.0,3
between on jan,0.0,79.22999999999999,79.22999999999999,792299.9999999999,3
said according,0.0,78.86,78.86,788600.0,2
fourth year ph,0.0,78.86,78.86,788600.0,3
public safety,83.898,162.69,78.792,93.90284597416218,2
santa teresa street,0.0,78.75333333333333,78.75333333333333,787533.3333333333,3
between on march,0.0,78.66666666666667,78.66666666666667,786666.6666666667,3
one another,0.0,78.52,78.52,785199.9999999999,2
ugs chair david,0.0,78.52,78.52,785199.9999999999,3
jeffrey epstein,0.0,78.52,78.52,785199.9999999999,2
department of justice,0.0,78.52,78.52,785199.9999999999,3
humanities and sciences,31.13,108.13749999999999,77.0075,247.2944765574823,3
rupert murdoch,0.0,76.79,76.79,767900.0000000001,2
judicial charter,0.0,76.79,76.79,767900.0000000001,2
school of sustainability,0.0,76.5375,76.5375,765374.9999999999,3
all other larceny,0.0,76.41499999999999,76.41499999999999,764149.9999999999,3
sept was reported,0.0,75.28,75.28,752800.0,3
marc tessier,82.85666666666667,157.72,74.86333333333333,90.34191472244568,2
third year ph,0.0,74.71,74.71,747099.9999999999,3
search committee,0.0,74.71,74.71,747099.9999999999,2
beyond sex ed,22.49,96.64,74.15,329.5555555555556,3
freedom of speech,0.0,72.64,72.64,726400.0,3
theft of bike,0.0,72.64,72.64,726400.0,3
professor of history,0.0,71.53,71.53,715300.0,3
president marc tessier,61.5475,132.82,71.2725,115.78199244608697,3
saller and martinez,0.0,70.53999999999999,70.53999999999999,705399.9999999999,3
faculty members,67.62,138.115,70.495,104.23628567203902,2
equity and inclusion,0.0,70.12,70.12,701200.0,3
hammerstrom and vargas,0.0,69.46,69.46,694599.9999999999,3
sgwu bargaining committee,0.0,68.74,68.74,687399.9999999999,3
workers union sgwu,0.0,68.74,68.74,687399.9999999999,3
sudps for comment,0.0,68.605,68.605,686050.0,3
graduate student council,69.926,138.49,68.56400000000001,98.03820636010066,3
graduate school,90.73400000000001,158.5025,67.76849999999999,74.6809706426871,2
colleges and universities,0.0,67.67,67.67,676700.0,3
asian american,58.34,125.23499999999999,66.89499999999998,114.64438731790914,2
building petty theft,0.0,65.75666666666666,65.75666666666666,657566.6666666666,3
office of community,0.0,65.32666666666667,65.32666666666667,653266.6666666667,3
academic year,70.9525,135.78,64.8275,91.35458869121014,2
