topic_id,label,top_words
0,topic_0,"really, said, people, lot, like, think, get, going, there, time, out, year"
1,topic_1,"bike, stolen, bike stolen, 30, near, bulletin, sudps, between, 11, public safety, department public, 12"
2,topic_2,"senate, gsc, assu, council, meeting, undergraduate senate, graduate, resolution, bill, graduate student, student, senators"
3,topic_3,"all, like, people, one, often, there, life, fact, world, way, don, much"
4,topic_4,"researchers, medicine, research, patients, study, cells, professor, health, data, said, team, medical"
5,topic_5,"covid, covid 19, 19, testing, cases, county, tests, dashboard, tested, positive, week, vaccinated"
6,topic_6,"trump, election, political, democratic, government, president, states, democracy, party, united, republican, united states"
7,topic_7,"stanforddaily, stanforddaily com, letters editor, letters, op, editor, com, opinions stanforddaily, eds, op eds, submissions, eic stanforddaily"
8,topic_8,"sexual, assault, sexual assault, title ix, ix, title, sexual violence, violence, harassment, survivors, sexual harassment, misconduct"
9,topic_9,"palo, palo alto, alto, housing, workers, county, city, area, local, santa clara, clara, santa"
10,topic_10,"israel, jewish, palestine, speech, palestinian, israeli, anti, community, white, event, protest, campus"
11,topic_11,"students, provost, campus, staff, residential, vice provost, student, university, housing, vice, wrote, email"
12,topic_12,"students, program, faculty, education, science, courses, professor, research, school, class, course, academic"
13,topic_13,"climate, fossil, energy, climate change, fuel, companies, sustainability, fossil fuel, environmental, emissions, change, carbon"
14,topic_14,"theft, petty theft, petty, grand theft, reported, bicycle, grand, bicycle between, theft bicycle, vehicle, escondido, 30"
