year,word,count,total_words,freq_per_million
2015,students,3939,488838,8057.88
2015,said,3517,488838,7194.61
2015,people,2624,488838,5367.83
2015,one,2369,488838,4846.19
2015,there,2112,488838,4320.45
2015,all,2031,488838,4154.75
2015,student,1706,488838,3489.91
2015,year,1687,488838,3451.04
2015,like,1678,488838,3432.63
2015,campus,1593,488838,3258.75
2015,out,1554,488838,3178.97
2015,time,1392,488838,2847.57
2015,new,1375,488838,2812.79
2015,many,1366,488838,2794.38
2015,university,1301,488838,2661.41
2015,some,1290,488838,2638.91
2015,contact,1207,488838,2469.12
2015,edu,1158,488838,2368.88
2015,think,1084,488838,2217.5
2015,first,1061,488838,2170.45
2015,two,1039,488838,2125.45
2015,community,1039,488838,2125.45
2015,make,1032,488838,2111.13
2015,really,1031,488838,2109.08
2015,between,950,488838,1943.38
2015,years,946,488838,1935.2
2015,world,914,488838,1869.74
2015,way,913,488838,1867.69
2015,work,910,488838,1861.56
2015,school,904,488838,1849.28
2015,last,897,488838,1834.96
2015,any,872,488838,1783.82
2015,get,853,488838,1744.95
2015,according,827,488838,1691.77
2015,program,814,488838,1665.17
2015,well,800,488838,1636.53
2015,much,794,488838,1624.26
2015,now,792,488838,1620.17
2015,take,769,488838,1573.12
2015,don,763,488838,1560.84
2015,women,763,488838,1560.84
2015,sexual,761,488838,1556.75
2015,change,756,488838,1546.52
2015,class,733,488838,1499.47
2015,different,724,488838,1481.06
2015,want,704,488838,1440.15
2015,life,692,488838,1415.6
2015,however,681,488838,1393.1
2015,group,678,488838,1386.96
2015,both,675,488838,1380.83
2015,president,669,488838,1368.55
2015,members,660,488838,1350.14
2015,need,644,488838,1317.41
2015,issues,636,488838,1301.04
2015,part,631,488838,1290.82
2015,know,618,488838,1264.22
2015,going,614,488838,1256.04
2015,research,614,488838,1256.04
2015,see,613,488838,1253.99
2015,social,610,488838,1247.86
2015,percent,602,488838,1231.49
2015,education,600,488838,1227.4
2015,around,598,488838,1223.31
2015,right,589,488838,1204.9
2015,every,588,488838,1202.85
2015,public,587,488838,1200.81
2015,something,585,488838,1196.72
2015,against,584,488838,1194.67
2015,lot,579,488838,1184.44
2015,made,577,488838,1180.35
2015,health,577,488838,1180.35
2015,things,572,488838,1170.12
2015,day,569,488838,1163.98
2015,use,566,488838,1157.85
2015,experience,566,488838,1157.85
2015,good,554,488838,1133.3
2015,help,554,488838,1133.3
2015,place,553,488838,1131.25
2015,important,552,488838,1129.21
2015,process,550,488838,1125.12
2015,come,549,488838,1123.07
2015,groups,547,488838,1118.98
2015,go,546,488838,1116.93
2015,team,545,488838,1114.89
2015,support,540,488838,1104.66
2015,three,535,488838,1094.43
2015,state,532,488838,1088.3
