year,word,count,total_words,freq_per_million
2015,delve,2,863257,2.3168
2015,delves,0,863257,0.0
2015,delved,3,863257,3.4752
2015,delving,1,863257,1.1584
2015,underscore,3,863257,3.4752
2015,underscores,5,863257,5.792
2015,underscored,4,863257,4.6336
2015,underscoring,1,863257,1.1584
2015,nuanced,20,863257,23.1681
2015,nuance,10,863257,11.584
2015,nuances,12,863257,13.9008
2015,multifaceted,1,863257,1.1584
2015,foster,36,863257,41.7025
2015,fosters,7,863257,8.1088
2015,fostered,0,863257,0.0
2015,fostering,13,863257,15.0592
2015,landscape,26,863257,30.1185
2015,landscapes,5,863257,5.792
2015,tapestry,0,863257,0.0
2015,tapestries,0,863257,0.0
2015,crucial,53,863257,61.3954
2015,crucially,1,863257,1.1584
2015,arguably,19,863257,22.0097
2015,notably,21,863257,24.3265
2015,paramount,3,863257,3.4752
2015,intricate,5,863257,5.792
2015,intricately,1,863257,1.1584
2015,comprehensive,47,863257,54.445
2015,comprehensively,5,863257,5.792
2015,robust,14,863257,16.2177
2015,robustly,0,863257,0.0
2015,leverage,32,863257,37.0689
2015,leverages,1,863257,1.1584
2015,leveraged,5,863257,5.792
2015,leveraging,6,863257,6.9504
2015,harness,6,863257,6.9504
2015,harnessing,1,863257,1.1584
2015,harnessed,1,863257,1.1584
2015,pivotal,3,863257,3.4752
2015,realm,14,863257,16.2177
2015,realms,2,863257,2.3168
2015,vibrant,12,863257,13.9008
2015,dynamic,36,863257,41.7025
2015,dynamics,18,863257,20.8513
2015,holistic,9,863257,10.4256
2015,holistically,2,863257,2.3168
2015,groundbreaking,6,863257,6.9504
2015,innovative,37,863257,42.8609
2015,innovation,71,863257,82.2467
2015,transformative,8,863257,9.2672
2015,unprecedented,33,863257,38.2273
2015,synergy,12,863257,13.9008
2015,synergies,1,863257,1.1584
2015,synergistic,0,863257,0.0
2015,streamline,6,863257,6.9504
2015,streamlines,2,863257,2.3168
2015,streamlined,3,863257,3.4752
2015,ecosystem,15,863257,17.3761
2015,ecosystems,10,863257,11.584
2016,delve,7,844702,8.2869
2016,delves,1,844702,1.1838
2016,delved,5,844702,5.9192
2016,delving,4,844702,4.7354
2016,underscore,2,844702,2.3677
2016,underscores,3,844702,3.5515
2016,underscored,3,844702,3.5515
2016,underscoring,0,844702,0.0
2016,nuanced,25,844702,29.5962
2016,nuance,13,844702,15.39
2016,nuances,10,844702,11.8385
2016,multifaceted,3,844702,3.5515
2016,foster,35,844702,41.4347
2016,fosters,5,844702,5.9192
2016,fostered,5,844702,5.9192
2016,fostering,14,844702,16.5739
2016,landscape,19,844702,22.4931
2016,landscapes,3,844702,3.5515
2016,tapestry,0,844702,0.0
2016,tapestries,1,844702,1.1838
2016,crucial,33,844702,39.067
2016,crucially,3,844702,3.5515
2016,arguably,23,844702,27.2285
2016,notably,13,844702,15.39
2016,paramount,4,844702,4.7354
2016,intricate,4,844702,4.7354
2016,intricately,2,844702,2.3677
2016,comprehensive,58,844702,68.6633
2016,comprehensively,3,844702,3.5515
2016,robust,7,844702,8.2869
2016,robustly,0,844702,0.0
2016,leverage,18,844702,21.3093
2016,leverages,1,844702,1.1838
2016,leveraged,3,844702,3.5515
2016,leveraging,1,844702,1.1838
2016,harness,4,844702,4.7354
2016,harnessing,1,844702,1.1838
2016,harnessed,1,844702,1.1838
2016,pivotal,5,844702,5.9192
2016,realm,26,844702,30.7801
2016,realms,4,844702,4.7354
2016,vibrant,11,844702,13.0223
2016,dynamic,17,844702,20.1254
2016,dynamics,25,844702,29.5962
2016,holistic,8,844702,9.4708
2016,holistically,5,844702,5.9192
2016,groundbreaking,4,844702,4.7354
2016,innovative,25,844702,29.5962
2016,innovation,80,844702,94.708
2016,transformative,12,844702,14.2062
2016,unprecedented,26,844702,30.7801
2016,synergy,6,844702,7.1031
2016,synergies,1,844702,1.1838
2016,synergistic,0,844702,0.0
2016,streamline,4,844702,4.7354
2016,streamlines,1,844702,1.1838
2016,streamlined,1,844702,1.1838
2016,ecosystem,9,844702,10.6546
2016,ecosystems,4,844702,4.7354
2017,delve,7,835235,8.3809
2017,delves,1,835235,1.1973
2017,delved,3,835235,3.5918
2017,delving,2,835235,2.3945
2017,underscore,2,835235,2.3945
2017,underscores,0,835235,0.0
2017,underscored,5,835235,5.9863
2017,underscoring,2,835235,2.3945
2017,nuanced,16,835235,19.1563
2017,nuance,5,835235,5.9863
2017,nuances,7,835235,8.3809
2017,multifaceted,3,835235,3.5918
