corpus,metric,best_breakpoint,best_r2,runner_up_breakpoint,runner_up_r2,r2_gap_to_runner_up,r2_linear,search_window,in_2021_2024
opinions,mattr,2025,0.9194,2023,0.8956,0.0238,0.3737,2017-2025,False
opinions,ttr,2020,0.7845,2021,0.6512,0.1333,0.0005,2017-2025,False
opinions,root_ttr,2023,0.8727,2025,0.7819,0.0908,0.5835,2017-2025,True
opinions,hapax_ratio,2020,0.847,2023,0.6627,0.1843,0.083,2017-2025,False
opinions,func_word_ratio,2017,0.9401,2018,0.9299,0.0102,0.847,2017-2025,False
opinions,avg_sentence_len,2021,0.7986,2022,0.7879,0.0107,0.2273,2017-2025,True
opinions,med_sentence_len,2024,0.8048,2025,0.8022,0.0026,0.4291,2017-2025,True
opinions,flesch_reading_ease,2019,0.9084,2020,0.7804,0.128,0.6881,2017-2025,False
opinions,flesch_kincaid_grade,2019,0.806,2021,0.6761,0.1299,0.3977,2017-2025,False
news,mattr,2022,0.8907,2021,0.7482,0.1425,0.529,2017-2025,True
news,ttr,2024,0.6984,2023,0.6025,0.0959,0.011,2017-2025,True
news,root_ttr,2021,0.8025,2019,0.7601,0.0424,0.5346,2017-2025,True
news,hapax_ratio,2020,0.7995,2024,0.657,0.1425,0.0231,2017-2025,False
news,func_word_ratio,2020,0.8772,2021,0.7325,0.1447,0.5953,2017-2025,False
news,avg_sentence_len,2019,0.8582,2022,0.8334,0.0248,0.0424,2017-2025,False
news,med_sentence_len,2019,0.7998,2022,0.6921,0.1077,0.0029,2017-2025,False
news,flesch_reading_ease,2022,0.8744,2019,0.7988,0.0756,0.1609,2017-2025,True
news,flesch_kincaid_grade,2022,0.9169,2021,0.8593,0.0576,0.0073,2017-2025,True
