approach,metric,n_pre,n_post,median_pre,median_post,effect_size,effect_ci_low,effect_ci_high,p_value
1_article_level,mattr,1403,162,0.7319,0.7566,0.5181,0.4416,0.589,3.0686119785524726e-27
2_author_as_unit,mattr,218,52,0.732,0.7589,0.561,0.4135,0.7026,3.2998791109068914e-10
3_drop_top5_authors,mattr,1141,92,0.7336,0.7557,0.4682,0.3634,0.5744,7.503555385323114e-14
1_article_level,func_word_ratio,1403,162,0.4571,0.4153,-0.5495,-0.6221,-0.4714,1.9498211289629008e-30
2_author_as_unit,func_word_ratio,218,52,0.4567,0.4242,-0.5183,-0.6544,-0.37,6.447780455843316e-09
3_drop_top5_authors,func_word_ratio,1141,92,0.4529,0.4207,-0.445,-0.5452,-0.3386,1.1771678238835623e-12
1_article_level,avg_sentence_len,1403,162,25.57,23.955,-0.2161,-0.302,-0.1332,6.503714482278395e-06
2_author_as_unit,avg_sentence_len,218,52,25.5556,23.1,-0.3128,-0.4701,-0.145,0.0004597333930324917
3_drop_top5_authors,avg_sentence_len,1141,92,25.35,23.585,-0.2356,-0.3463,-0.1137,0.00016745597587302882
1_article_level,flesch_reading_ease,1403,162,46.7145,40.2102,-0.3017,-0.3831,-0.218,3.078266538216523e-10
2_author_as_unit,flesch_reading_ease,218,52,46.4346,41.3255,-0.262,-0.4158,-0.1014,0.0033465224036217933
3_drop_top5_authors,flesch_reading_ease,1141,92,46.2008,40.5673,-0.2334,-0.3453,-0.1186,0.00019228577109859843
