period,metric,comparison,n_a,n_b,median_a,median_b,effect_size,effect_ci_low,effect_ci_high,p_value
pre_2015_2019,mattr,student_vs_guest,1403,579,0.7319,0.7238,-0.1588,-0.2143,-0.1046,2.5762297238800387e-08
pre_2015_2019,func_word_ratio,student_vs_guest,1403,579,0.4571,0.4388,-0.2588,-0.307,-0.2068,1.148676921861426e-19
pre_2015_2019,avg_sentence_len,student_vs_guest,1403,579,25.57,25.65,0.0206,-0.0325,0.0784,0.47001265330070374
pre_2015_2019,flesch_reading_ease,student_vs_guest,1403,579,46.7145,42.4494,-0.1871,-0.2394,-0.1353,5.440561358010995e-11
pre_2015_2019,root_ttr,student_vs_guest,1403,579,13.3758,12.4188,-0.3744,-0.4233,-0.3222,2.3493189741677476e-39
post_2024_2026,mattr,student_vs_guest,162,194,0.7566,0.7397,-0.3207,-0.4215,-0.2104,1.8805303794105125e-07
post_2024_2026,func_word_ratio,student_vs_guest,162,194,0.4153,0.4161,-0.0269,-0.1459,0.0869,0.6621513921218052
post_2024_2026,avg_sentence_len,student_vs_guest,162,194,23.955,24.83,0.0954,-0.0293,0.2049,0.12108206788195802
post_2024_2026,flesch_reading_ease,student_vs_guest,162,194,40.2102,40.0632,-0.0594,-0.1762,0.0685,0.33485679426513104
post_2024_2026,root_ttr,student_vs_guest,162,194,14.566,14.131,-0.1887,-0.3008,-0.0652,0.0021705871625806042
