year,ngram,n,count,total_ngrams,freq_per_million
2015,sexual assault,2,465,863256,538.66
2015,united states,2,292,863256,338.25
2015,last year,2,256,863256,296.55
2015,climate change,2,241,863256,279.18
2015,computer science,2,198,863256,229.36
2015,sometime between,2,177,863256,205.04
2015,mental health,2,171,863256,198.09
2015,title ix,2,165,863256,191.14
2015,high school,2,155,863256,179.55
2015,supreme court,2,143,863256,165.65
2015,student groups,2,143,863256,165.65
2015,silicon valley,2,126,863256,145.96
2015,palo alto,2,125,863256,144.8
2015,years ago,2,123,863256,142.48
2015,student body,2,121,863256,140.17
2015,low income,2,119,863256,137.85
2015,new york,2,118,863256,136.69
2015,last week,2,113,863256,130.9
2015,graduate students,2,110,863256,127.42
2015,first time,2,105,863256,121.63
2015,many people,2,103,863256,119.32
2015,unknown suspect,2,103,863256,119.32
2015,human rights,2,96,863256,111.21
2015,feel like,2,96,863256,111.21
2015,right now,2,91,863256,105.41
2015,task force,2,91,863256,105.41
2015,fossil free,2,88,863256,101.94
2015,two years,2,85,863256,98.46
2015,figure out,2,84,863256,97.31
2015,president obama,2,83,863256,96.15
2015,vice provost,2,82,863256,94.99
2015,make sure,2,80,863256,92.67
2015,said contact,2,79,863256,91.51
2015,public safety,2,77,863256,89.2
2015,many students,2,76,863256,88.04
2015,locked bike,2,75,863256,86.88
2015,fossil fuels,2,74,863256,85.72
2015,social media,2,73,863256,84.56
2015,don think,2,73,863256,84.56
2015,fossil fuel,2,71,863256,82.25
2015,long term,2,69,863256,79.93
2015,dining halls,2,69,863256,79.93
2015,year old,2,68,863256,78.77
2015,next year,2,68,863256,78.77
2015,san jose,2,66,863256,76.45
2015,graduate student,2,66,863256,76.45
2015,graduate school,2,66,863256,76.45
2015,don know,2,65,863256,75.3
2015,four years,2,65,863256,75.3
2015,first place,2,65,863256,75.3
2015,health care,2,64,863256,74.14
2015,individual reportedly,2,64,863256,74.14
2015,student group,2,63,863256,72.98
2015,faculty members,2,63,863256,72.98
2015,vice president,2,62,863256,71.82
2015,white plaza,2,62,863256,71.82
2015,college students,2,60,863256,69.5
2015,black lives,2,59,863256,68.35
2015,middle east,2,59,863256,68.35
2015,gmail com,2,59,863256,68.35
2015,law enforcement,2,58,863256,67.19
2015,little bit,2,58,863256,67.19
2015,president john,2,58,863256,67.19
2015,sexual violence,2,58,863256,67.19
2015,don want,2,57,863256,66.03
2015,winter quarter,2,56,863256,64.87
2015,freshman year,2,56,863256,64.87
2015,three years,2,56,863256,64.87
2015,off campus,2,55,863256,63.71
2015,bike rack,2,55,863256,63.71
2015,every year,2,54,863256,62.55
2015,undergraduate senate,2,54,863256,62.55
2015,few years,2,54,863256,62.55
2015,some students,2,54,863256,62.55
2015,dining hall,2,54,863256,62.55
2015,every day,2,53,863256,61.4
2015,design thinking,2,53,863256,61.4
2015,college campuses,2,53,863256,61.4
2015,white house,2,52,863256,60.24
2015,one thing,2,52,863256,60.24
2015,academic year,2,52,863256,60.24
2015,around campus,2,52,863256,60.24
2015,middle class,2,52,863256,60.24
2015,eating disorders,2,52,863256,60.24
2015,five years,2,51,863256,59.08
2015,safety bulletin,2,51,863256,59.08
2015,sexual harassment,2,51,863256,59.08
2015,social impact,2,51,863256,59.08
2015,civil rights,2,50,863256,57.92
2015,financial aid,2,50,863256,57.92
2015,black women,2,50,863256,57.92
2015,san francisco,2,50,863256,57.92
2015,difference between,2,49,863256,56.76
2015,lives matter,2,49,863256,56.76
2015,hillary clinton,2,49,863256,56.76
2015,campus climate,2,49,863256,56.76
2015,national security,2,49,863256,56.76
2015,bay area,2,48,863256,55.6
2015,escondido village,2,47,863256,54.45
2015,south africa,2,47,863256,54.45
2015,bike was stolen,3,86,863255,99.62
2015,board of trustees,3,81,863255,93.83
2015,around the world,3,80,863255,92.67
2015,department of public,3,69,863255,79.93
2015,individual was arrested,3,61,863255,70.66
2015,lot of people,3,58,863255,67.19
2015,suspect or suspects,3,54,863255,62.55
2015,public safety bulletin,3,51,863255,59.08
2015,cited and released,3,50,863255,57.92
2015,across the country,3,49,863255,56.76
2015,school of medicine,3,46,863255,53.29
2015,new york times,3,46,863255,53.29
2015,individual was cited,3,46,863255,53.29
2015,black lives matter,3,44,863255,50.97
2015,students and faculty,3,43,863255,49.81
2015,there are many,3,43,863255,49.81
2015,john lancaster finley,3,42,863255,48.65
2015,president john hennessy,3,42,863255,48.65
2015,regrets this error,3,41,863255,47.49
2015,school of business,3,40,863255,46.34
2015,students of color,3,40,863255,46.34
2015,people of color,3,40,863255,46.34
2015,cable locked bike,3,39,863255,45.18
2015,san jose main,3,37,863255,42.86
2015,jose main jail,3,37,863255,42.86
2015,reportedly cable locked,3,37,863255,42.86
2015,provost john etchemendy,3,37,863255,42.86
2015,low income students,3,35,863255,40.54
2015,title ix office,3,35,863255,40.54
2015,individual reportedly cable,3,33,863255,38.23
2015,contact mina shah,3,32,863255,37.07
2015,shah at minashah,3,32,863255,37.07
2015,school of engineering,3,32,863255,37.07
2015,reportedly locked bike,3,32,863255,37.07
2015,faculty and staff,3,31,863255,35.91
2015,want to make,3,30,863255,34.75
2015,east palo alto,3,30,863255,34.75
2015,possession of alcohol,3,29,863255,33.59
2015,around the country,3,28,863255,32.44
2015,report covers selection,3,27,863255,31.28
2015,selection of incidents,3,27,863255,31.28
2015,groups on campus,3,27,863255,31.28
2015,stolen from bike,3,27,863255,31.28
2015,residential dining enterprises,3,25,863255,28.96
2015,group of students,3,25,863255,28.96
2015,out of occupied,3,25,863255,28.96
2015,title ix investigation,3,25,863255,28.96
2015,el camino real,3,24,863255,27.8
2015,all the time,3,24,863255,27.8
2015,fossil fuel divestment,3,24,863255,27.8
2015,men and women,3,24,863255,27.8
2015,secretary of state,3,23,863255,26.64
2015,edu this report,3,23,863255,26.64
2015,contact sam premutico,3,23,863255,26.64
2015,premutico at samprem,3,23,863255,26.64
2015,contact lily zheng,3,23,863255,26.64
2015,earlier this year,3,23,863255,26.64
2015,students on campus,3,23,863255,26.64
2015,group of people,3,23,863255,26.64
2015,minor in possession,3,23,863255,26.64
2015,there are lot,3,22,863255,25.48
2015,throckmorton at adastat,3,22,863255,25.48
2015,provost for student,3,22,863255,25.48
2015,trying to figure,3,22,863255,25.48
2015,arrested for public,3,22,863255,25.48
2015,assu undergraduate senate,3,22,863255,25.48
2015,point of view,3,21,863255,24.33
2015,contact mysia anderson,3,21,863255,24.33
2015,anderson at mysia,3,21,863255,24.33
2015,contact michael gioia,3,21,863255,24.33
2015,quach at jquach,3,21,863255,24.33
2015,two years ago,3,21,863255,24.33
2015,like to see,3,21,863255,24.33
2015,bike rack outside,3,21,863255,24.33
2015,contact ada throckmorton,3,20,863255,23.17
2015,dining enterprises de,3,20,863255,23.17
2015,contact catherine zaw,3,20,863255,23.17
2015,condensed and edited,3,20,863255,23.17
2015,cohen at skylarc,3,20,863255,23.17
2015,said we want,3,20,863255,23.17
2015,santa clara county,3,20,863255,23.17
2015,graduate student council,3,20,863255,23.17
2015,science and engineering,3,20,863255,23.17
2015,hall sometime between,3,20,863255,23.17
2015,contact jeremy quach,3,20,863255,23.17
2015,force on sexual,3,20,863255,23.17
2015,school of education,3,20,863255,23.17
2015,individual reportedly locked,3,20,863255,23.17
2015,there are some,3,20,863255,23.17
2015,contact winston shi,3,19,863255,22.01
2015,freedom of expression,3,19,863255,22.01
2015,number of students,3,19,863255,22.01
2015,question of whether,3,19,863255,22.01
2015,contact skylar cohen,3,19,863255,22.01
2015,building sometime between,3,19,863255,22.01
2015,day period between,3,19,863255,22.01
2015,counseling and psychological,3,19,863255,22.01
2015,despite the fact,3,19,863255,22.01
2015,spokeswoman lisa lapin,3,19,863255,22.01
2015,unknown suspect stole,3,19,863255,22.01
2016,sexual assault,2,566,844701,670.06
2016,last year,2,208,844701,246.24
2016,student body,2,206,844701,243.87
2016,graduate student,2,197,844701,233.22
2016,mental health,2,195,844701,230.85
2016,united states,2,195,844701,230.85
2016,graduate students,2,186,844701,220.2
2016,high school,2,172,844701,203.62
2016,donald trump,2,155,844701,183.5
2016,new york,2,155,844701,183.5
2016,palo alto,2,151,844701,178.76
2016,undergraduate senate,2,134,844701,158.64
2016,computer science,2,131,844701,155.08
2016,low income,2,131,844701,155.08
2016,tessier lavigne,2,124,844701,146.8
2016,climate change,2,123,844701,145.61
2016,western civilization,2,120,844701,142.06
2016,years ago,2,118,844701,139.69
2016,sexual violence,2,117,844701,138.51
2016,financial aid,2,114,844701,134.96
2016,hillary clinton,2,111,844701,131.41
2016,student groups,2,110,844701,130.22
2016,silicon valley,2,101,844701,119.57
2016,campus climate,2,101,844701,119.57
2016,first time,2,100,844701,118.39
2016,climate survey,2,97,844701,114.83
2016,hard alcohol,2,96,844701,113.65
2016,two years,2,94,844701,111.28
2016,unknown suspect,2,93,844701,110.1
2016,anti semitism,2,91,844701,107.73
2016,title ix,2,88,844701,104.18
2016,right now,2,88,844701,104.18
2016,faculty senate,2,87,844701,103.0
2016,santa clara,2,86,844701,101.81
2016,last week,2,86,844701,101.81
2016,vice provost,2,85,844701,100.63
2016,four years,2,85,844701,100.63
2016,feel like,2,84,844701,99.44
2016,next year,2,83,844701,98.26
2016,don know,2,79,844701,93.52
2016,brock turner,2,79,844701,93.52
2016,bay area,2,79,844701,93.52
2016,graduate school,2,77,844701,91.16
2016,vice president,2,76,844701,89.97
2016,social media,2,76,844701,89.97
2016,don think,2,76,844701,89.97
2016,alcohol policy,2,76,844701,89.97
2016,supreme court,2,75,844701,88.79
2016,clara county,2,74,844701,87.6
2016,editorial board,2,74,844701,87.6
2016,many students,2,71,844701,84.05
2016,student council,2,71,844701,84.05
2016,president obama,2,70,844701,82.87
2016,san francisco,2,69,844701,81.69
2016,make sure,2,69,844701,81.69
2016,public safety,2,68,844701,80.5
2016,bernie sanders,2,67,844701,79.32
2016,said contact,2,67,844701,79.32
2016,three years,2,66,844701,78.13
2016,incident occurred,2,66,844701,78.13
2016,president john,2,64,844701,75.77
2016,locked bike,2,64,844701,75.77
2016,many people,2,64,844701,75.77
2016,task force,2,63,844701,74.58
2016,gmail com,2,62,844701,73.4
2016,health care,2,62,844701,73.4
2016,york times,2,62,844701,73.4
2016,african american,2,62,844701,73.4
2016,long term,2,60,844701,71.03
2016,don want,2,60,844701,71.03
2016,income students,2,58,844701,68.66
2016,working group,2,58,844701,68.66
2016,year old,2,57,844701,67.48
2016,human rights,2,57,844701,67.48
2016,first generation,2,57,844701,67.48
2016,contact hannah,2,56,844701,66.3
2016,winter quarter,2,56,844701,66.3
2016,school year,2,56,844701,66.3
2016,freshman year,2,55,844701,65.11
2016,full moon,2,55,844701,65.11
2016,every day,2,54,844701,63.93
2016,first year,2,54,844701,63.93
2016,pointed out,2,53,844701,62.74
2016,john hennessy,2,52,844701,61.56
2016,fossil fuel,2,52,844701,61.56
2016,student affairs,2,52,844701,61.56
2016,some students,2,52,844701,61.56
2016,all students,2,52,844701,61.56
2016,greek life,2,52,844701,61.56
2016,theta chi,2,52,844701,61.56
2016,said there,2,51,844701,60.38
2016,fangzhou liu,2,50,844701,59.19
2016,college students,2,50,844701,59.19
2016,few years,2,49,844701,58.01
2016,few weeks,2,49,844701,58.01
2016,student group,2,49,844701,58.01
2016,asian american,2,49,844701,58.01
2016,one thing,2,49,844701,58.01
2016,past year,2,48,844701,56.82
2016,off campus,2,48,844701,56.82
2016,campus climate survey,3,80,844700,94.71
2016,santa clara county,3,74,844700,87.61
2016,board of trustees,3,72,844700,85.24
2016,around the world,3,71,844700,84.05
2016,graduate student council,3,70,844700,82.87
2016,individual was cited,3,66,844700,78.13
2016,department of public,3,64,844700,75.77
2016,cited and released,3,64,844700,75.77
2016,bike was stolen,3,63,844700,74.58
2016,new york times,3,62,844700,73.4
