year,mean_sim,median_sim,std_sim,p10_sim,p90_sim,n_articles,n_pairs
2015,0.17224,0.16111,0.12639,0.01883,0.34127,300,44850
2016,0.18841,0.17645,0.12968,0.03135,0.36253,300,44850
2017,0.18317,0.17191,0.12965,0.0249,0.35754,300,44850
2018,0.20988,0.20186,0.12842,0.05014,0.37818,300,44850
2019,0.22136,0.21254,0.13291,0.05635,0.39689,300,44850
2020,0.23964,0.22515,0.14695,0.06196,0.43704,300,44850
2021,0.24806,0.23396,0.14965,0.07059,0.44023,300,44850
2022,0.21935,0.20683,0.13541,0.06032,0.38861,300,44850
2023,0.22644,0.21628,0.13632,0.06175,0.40096,300,44850
2024,0.23528,0.22359,0.14051,0.06725,0.41306,300,44850
2025,0.21394,0.20341,0.13674,0.04806,0.39401,300,44850
2026,0.21881,0.2121,0.13036,0.05625,0.38636,300,44850
