year,n_articles,n_opinions,n_news,n_unique_author_ids,n_resolved_author_names,mean_word_count,median_word_count,total_words
2015,1204,448,756,212,0,743.4,739.5,895027
2016,1174,407,767,203,0,748.9,711.5,879252
2017,1072,427,645,211,0,809.7,736.0,868016
2018,1125,368,757,202,0,836.5,741.0,941034
2019,1187,332,855,229,0,794.3,705.0,942857
2020,1446,378,1068,427,0,882.5,777.0,1276080
2021,972,183,789,285,0,772.5,713.5,750869
2022,765,131,634,184,0,810.8,725.0,620241
2023,577,105,472,148,0,871.2,785.0,502694
2024,583,92,491,150,0,759.9,711.0,443023
2025,702,155,547,137,0,773.5,720.5,542999
2026,435,109,326,86,0,795.6,756.0,346080
